Billing Date,Service Name,Organization Name,Customer Number,Product ID,Product Name,Item Code,Quantity,Unit Cost Price,Unit Sales Price,Total Cost,Total Sales,Margin Amount,Margin Percentage,Currency Code,Payment Frequency,Purchase Order Number,Subscription ID,Subscription Name,Billing Line Details,Organization Currency Code,Organization Groups,Opportunity Number
5/7/2023,Microsoft 365,18Forty8 Private Wealth,719151,CFQ7TTC0LH1P,Exchange Online (Plan 2),CFQ7TTC0LH1P:0001:P1Y:MONTHLY,1,6.4,6.88,6.4,6.88,0.48,6.976744186,USD,MONTHLY,Quote #: 3643588,9CE06822-E119-4129-C722-27C0400B1B6A,Exchange Online (Plan 2),cycleCharge. From 06 Apr 2023 to 05 May 2023 (30 days),USD,Jarid Italiano;Sanctuary Wealth,95975
5/7/2023,Microsoft 365,18Forty8 Private Wealth,719151,CFQ7TTC0LF8R,Office 365 E3,CFQ7TTC0LF8R:0001:P1Y:MONTHLY,4,18.4,19.78,73.6,79.12,5.52,6.976744186,USD,MONTHLY,Quote #: 3643588,C193E46C-9551-4895-C0E1-891A8C1519D8,Office 365 E3,cycleCharge. From 06 Apr 2023 to 05 May 2023 (30 days),USD,Jarid Italiano;Sanctuary Wealth,95975
5/7/2023,Microsoft 365,6 Degrees Wealth,687039,CFQ7TTC0LF8Q,Office 365 E1,CFQ7TTC0LF8Q:0001:P1M:MONTHLY,4,9.6,10.32,38.4,41.28,2.88,6.976744186,USD,MONTHLY,,27014745-7549-460B-D08E-9AA70679EC2F,Office 365 E1,renew. From 09 Apr 2023 to 08 May 2023 (30 days),USD,Elizabeth Kasbeer;Jarid Italiano;Sanctuary Wealth,91098
5/7/2023,Microsoft 365,A&D Mortgage,673732,CFQ7TTC0LH18,Microsoft 365 Business Basic,CFQ7TTC0LH18:0001:P1Y:MONTHLY,88,-0.96,-1.054,-84.48,-92.752,-8.272,8.918406072,USD,MONTHLY,,F6B56D37-ED89-47C1-DE3E-8F6383B15D44,Microsoft 365 Business Basic,addQuantity. From 25 Apr 2023 to 30 Apr 2023 (6 days),USD,Jarid Italiano;Matthew Davis,90385
5/7/2023,Microsoft 365,A&D Mortgage,673732,CFQ7TTC0LH18,Microsoft 365 Business Basic,CFQ7TTC0LH18:0001:P1Y:MONTHLY,87,-1.92,-2.108,-167.04,-183.396,-16.356,8.918406072,USD,MONTHLY,,F6B56D37-ED89-47C1-DE3E-8F6383B15D44,Microsoft 365 Business Basic,addQuantity. From 19 Apr 2023 to 30 Apr 2023 (12 days),USD,Jarid Italiano;Matthew Davis,90385
5/7/2023,Microsoft 365,A&D Mortgage,673732,CFQ7TTC0LH18,Microsoft 365 Business Basic,CFQ7TTC0LH18:0001:P1Y:MONTHLY,87,4.8,5.27,417.6,458.49,40.89,8.918406072,USD,MONTHLY,,F6B56D37-ED89-47C1-DE3E-8F6383B15D44,Microsoft 365 Business Basic,cycleCharge. From 01 Apr 2023 to 30 Apr 2023 (30 days),USD,Jarid Italiano;Matthew Davis,90385
5/7/2023,Microsoft 365,A&D Mortgage,673732,CFQ7TTC0LH18,Microsoft 365 Business Basic,CFQ7TTC0LH18:0001:P1Y:MONTHLY,89,0.96,1.054,85.44,93.806,8.366,8.918406072,USD,MONTHLY,,F6B56D37-ED89-47C1-DE3E-8F6383B15D44,Microsoft 365 Business Basic,addQuantity. From 25 Apr 2023 to 30 Apr 2023 (6 days),USD,Jarid Italiano;Matthew Davis,90385
5/7/2023,Microsoft 365,A&D Mortgage,673732,CFQ7TTC0LH18,Microsoft 365 Business Basic,CFQ7TTC0LH18:0001:P1Y:MONTHLY,88,1.92,2.108,168.96,185.504,16.544,8.918406072,USD,MONTHLY,,F6B56D37-ED89-47C1-DE3E-8F6383B15D44,Microsoft 365 Business Basic,addQuantity. From 19 Apr 2023 to 30 Apr 2023 (12 days),USD,Jarid Italiano;Matthew Davis,90385
5/7/2023,Microsoft 365,A&D Mortgage,673732,CFQ7TTC0LDPB,Microsoft 365 Business Standard,CFQ7TTC0LDPB:0001:P1Y:MONTHLY,300,10,10.99,3000,3297,297,9.008189263,USD,MONTHLY,,B0EBC5B3-5200-4B95-C3AC-C3696355B6D1,Microsoft 365 Business Standard,cycleCharge. From 01 Apr 2023 to 30 Apr 2023 (30 days),USD,Jarid Italiano;Matthew Davis,90385
5/7/2023,Microsoft 365,A&D Mortgage,673732,CFQ7TTC0LFLX,Microsoft 365 E3,CFQ7TTC0LFLX:0001:P1Y:MONTHLY,1,28.8,31.65,28.8,31.65,2.85,9.004739336,USD,MONTHLY,,D474C527-5B06-4A7E-DD04-9B177DC7A096,Microsoft 365 E3,cycleCharge. From 01 Apr 2023 to 30 Apr 2023 (30 days),USD,Jarid Italiano;Matthew Davis,90385
5/7/2023,Microsoft 365,A&D Mortgage,673732,CFQ7TTC0MBMD,Microsoft 365 F1,CFQ7TTC0MBMD:0002:P1Y:MONTHLY,1,1.84,2.02,1.84,2.02,0.18,8.910891089,USD,MONTHLY,,C249C779-C1B5-458A-DCF9-ECB1BD312289,Microsoft 365 F1,cycleCharge. From 01 Apr 2023 to 30 Apr 2023 (30 days),USD,Jarid Italiano;Matthew Davis,90385
5/7/2023,Microsoft 365,A&D Mortgage,673732,CFQ7TTC0LF8R,Office 365 E3,CFQ7TTC0LF8R:0001:P1Y:MONTHLY,100,18.4,20.22,1840,2022,182,9.00098912,USD,MONTHLY,,B3C3A9E7-17C5-42EA-D72C-B4F25D37E572,Office 365 E3,cycleCharge. From 01 Apr 2023 to 30 Apr 2023 (30 days),USD,Jarid Italiano;Matthew Davis,90385
5/7/2023,Microsoft 365,A&D Mortgage,673732,CFQ7TTC0LF8S,Office 365 E5,CFQ7TTC0LF8S:0002:P1Y:MONTHLY,1,30.4,33.41,30.4,33.41,3.01,9.009278659,USD,MONTHLY,,5D67EBEF-734B-45EB-DB80-84A18908ACAB,Office 365 E5,cycleCharge. From 01 Apr 2023 to 30 Apr 2023 (30 days),USD,Jarid Italiano;Matthew Davis,90385
5/7/2023,Microsoft 365,A&D Mortgage,673732,CFQ7TTC0J4GS,Power Apps per app plan (1 app or website) - D365 & Power Glidepath Promo,CFQ7TTC0J4GS:0002:P1M:MONTHLY,1,4,5.33,4,5.33,1.33,24.95309568,USD,MONTHLY,,132F93DF-F14D-4B0A-C8C4-2FDD8D87FA7A,Power Apps per app plan (1 app or website),renew. From 01 Apr 2023 to 30 Apr 2023 (30 days),USD,Jarid Italiano;Matthew Davis,90385
5/7/2023,Microsoft 365,A&D Mortgage,673732,CFQ7TTC0HL8W,Power BI Premium Per User,CFQ7TTC0HL8W:0001:P1Y:MONTHLY,130,-13.87,-15.40933333,-1803.1,-2003.213333,-200.1133333,9.989616683,USD,MONTHLY,,507070BD-3F7E-4677-D678-5B09792D67DF,Power BI Premium Per User,addQuantity. From 05 Apr 2023 to 30 Apr 2023 (26 days),USD,Jarid Italiano;Matthew Davis,90385
